phonemic_name	lang	latin_name	humor_temp	humor_type	notes
shugai	MN	Artemisia sieversiana	cool	bile	Mongolian wormwood; bile-clearing
shugaig	MN	Artemisia sieversiana	cool	bile	shugai inflected
yandar	MN	Glycyrrhiza uralensis	neutral	multi	licorice; universal harmonizer
aanar	MN	Punica granatum	warm	wind	pomegranate; wind tonic
anar	MN	Punica granatum	warm	wind	pomegranate variant
batlai	MN	Acorus calamus	warm	wind	sweet flag; wind-mental
shutai	MN	Acorus calamus	warm	wind	Acorus variant
tsamha	MN	Amomum subulatum	warm	wind	black cardamom
tsamba	MN	Amomum subulatum	warm	wind	cardamom variant
gexiuna	MN	Rheum officinale	cool	bile	rhubarb; bitter bile
gexiun	MN	Rheum officinale	cool	bile	rhubarb short
khundag	MN	Ephedra sinica	warm	wind	ephedra; warm diaphoretic
khundaag	MN	Ephedra sinica	warm	wind	ephedra long-vowel
maral	MN	Leontopodium alpinum	neutral	wind	edelweiss; wind-neutral
sodon	MN	Allium altaicum	warm	wind	wild onion; warm wind-dispersing
toiruu	MN	Gentiana macrophylla	cool	bile	gentian; bitter bile-clearing
toiru	MN	Gentiana macrophylla	cool	bile	gentian short
nuhur	MN	Ferula sumbul	warm	wind	ferula/asafoetida; warm wind
sharil	MN	Terminalia chebula	neutral	multi	chebulic myrobalan
sharal	MN	Terminalia chebula	neutral	multi	myrobalan variant
gavhuur	MN	Tribulus terrestris	warm	wind	puncture vine; warm wind
gavhur	MN	Tribulus terrestris	warm	wind	tribulus short
turuu	MN	Saussurea costus	warm	wind	costus; warm wind aromatic
turu	MN	Saussurea costus	warm	wind	costus short
kodar	MN	Saussurea costus	warm	wind	costus Mongolian variant
ulalj	MN	Codonopsis pilosula	neutral	multi	bellflower root; tonic
tasil	MN	Capsella bursa-pastoris	cool	bile	shepherd's purse
tashil	MN	Capsella bursa-pastoris	cool	bile	tasil variant
zeergene	MN	Sophora flavescens	cool	bile	ku shen; bitter bile
zergene	MN	Sophora flavescens	cool	bile	sophora short
altan	MN	Coptis chinensis	cool	bile	golden thread; bitter bile
altain	MN	Coptis chinensis	cool	bile	coptis variant
tsagaan	MN	Angelica dahurica	warm	wind	angelica; warm wind-dispersing
tsagan	MN	Angelica dahurica	warm	wind	angelica short
ulaan	MN	Carthamus tinctorius	warm	wind	safflower; warm blood-wind
ulan	MN	Carthamus tinctorius	warm	wind	safflower short
khuren	MN	Rumex crispus	cool	bile	dock; cool bile-clearing
hurkhag	MN	Iris lactea	neutral	multi	wild iris
shargal	MN	Berberis sibirica	cool	bile	Siberian barberry
sharhal	MN	Berberis sibirica	cool	bile	barberry variant
tsetseg	MN	Chrysanthemum indicum	cool	bile	wild chrysanthemum
