folio	formula_type	n_tokens	ch_pct	ok_pct	ot_pct	cthol_n	cthal_n	ee_pct	coverage	plant_id	confidence
f1r	WARM	214	0.1308	0.0561	0.028	1	1	0.0374	0.9953	UNIDENTIFIED	
f1v	WARM	92	0.2283	0.0435	0.0109	1	0	0.0326	1.0	UNIDENTIFIED	
f2r	PLAIN-AMBIG	104	0.1731	0.0192	0.0288	0	0	0.0385	1.0	UNIDENTIFIED	
f2v	PLAIN-AMBIG	61	0.459	0.0	0.082	0	0	0.0492	1.0	pomegranate	CONFIRMED
f3r	WARM	114	0.2281	0.1228	0.0965	2	0	0.0439	1.0	rheum	CONFIRMED
f3v	COLD	85	0.2118	0.1176	0.0471	0	1	0.0941	0.9882	artemisia	HIGH
f4r	WARM	64	0.1875	0.0156	0.125	2	0	0.0312	1.0	UNIDENTIFIED	
f4v	WARM	83	0.253	0.0482	0.0723	1	0	0.0482	0.9759	UNIDENTIFIED	
f5r	HIGH-OT	54	0.2222	0.0556	0.1481	0	0	0.0926	0.9815	UNIDENTIFIED	
f5v	HIGH-OT	47	0.234	0.0213	0.1489	0	0	0.0426	1.0	UNIDENTIFIED	
f6r	PLAIN-AMBIG	86	0.2209	0.0349	0.0349	0	0	0.0349	0.9884	acorus_calamus	CONFIRMED
f6v	WARM	115	0.2174	0.0783	0.0261	2	0	0.0348	1.0	UNIDENTIFIED	
f7r	WARM	66	0.2727	0.0606	0.0909	1	0	0.1212	1.0	UNIDENTIFIED	
f7v	WARM	78	0.1538	0.0513	0.0513	1	0	0.141	0.9872	UNIDENTIFIED	
f8r	PLAIN-AMBIG	150	0.2867	0.04	0.02	0	0	0.0533	0.9933	UNIDENTIFIED	
f8v	WARM	118	0.322	0.0254	0.0508	1	0	0.0254	1.0	artemisia	PROBABLE
f9r	COLD	85	0.1882	0.0706	0.0824	0	0	0.0118	1.0	UNIDENTIFIED	
f9v	PLAIN-AMBIG	86	0.1977	0.0465	0.093	0	0	0.0233	1.0	UNIDENTIFIED	
f10r	HIGH-OT	92	0.2174	0.0326	0.1304	0	0	0.0	1.0	UNIDENTIFIED	
f10v	HIGH-OT	57	0.193	0.0526	0.1579	0	0	0.0351	1.0	UNIDENTIFIED	
f11r	PLAIN-AMBIG	59	0.1186	0.0169	0.0508	0	0	0.0	1.0	UNIDENTIFIED	
f11v	PLAIN-AMBIG	50	0.12	0.08	0.08	0	0	0.02	1.0	UNIDENTIFIED	
f13r	TYPE-B	77	0.0649	0.1039	0.0519	0	0	0.013	1.0	UNIDENTIFIED	
f13v	TYPE-B	69	0.1159	0.1449	0.1304	0	0	0.0	1.0	cardamom	CONFIRMED
f14r	PLAIN-AMBIG	76	0.1579	0.0658	0.0789	0	0	0.0395	1.0	UNIDENTIFIED	
f14v	PLAIN-AMBIG	75	0.1333	0.0533	0.0933	0	0	0.0	0.9867	UNIDENTIFIED	
f15r	PLAIN-AMBIG	94	0.1489	0.0745	0.0745	0	0	0.0106	1.0	UNIDENTIFIED	
f15v	PLAIN-AMBIG	71	0.2394	0.0704	0.0845	0	0	0.0	1.0	UNIDENTIFIED	
f16r	PLAIN-AMBIG	84	0.0833	0.0714	0.0357	0	0	0.0357	1.0	UNIDENTIFIED	
f16v	PLAIN-AMBIG	76	0.3421	0.0658	0.0921	0	0	0.0	0.9868	ephedra	CONFIRMED
f17r	TYPE-B	80	0.1875	0.0875	0.05	0	0	0.0125	1.0	UNIDENTIFIED	
f17v	WARM	135	0.2074	0.1407	0.037	2	0	0.1185	0.9926	artemisia	CONFIRMED
f18r	WARM	84	0.1786	0.1429	0.0119	2	1	0.0	1.0	UNIDENTIFIED	
f18v	TYPE-B	69	0.058	0.2029	0.087	0	0	0.0435	1.0	UNIDENTIFIED	
f19r	PLAIN-AMBIG	78	0.1795	0.0385	0.0769	0	0	0.0	0.9744	UNIDENTIFIED	
f19v	WARM	78	0.1154	0.1154	0.1538	2	0	0.0256	1.0	UNIDENTIFIED	
f20r	HIGH-OT	89	0.3146	0.0225	0.1348	0	0	0.1236	0.9775	UNIDENTIFIED	
f20v	PLAIN-AMBIG	86	0.2791	0.0349	0.0814	0	0	0.0	1.0	UNIDENTIFIED	
f21r	HIGH-OT	104	0.1923	0.0577	0.125	0	0	0.0865	1.0	artemisia	PROBABLE
f21v	PLAIN-AMBIG	58	0.2759	0.0517	0.069	0	0	0.0517	1.0	UNIDENTIFIED	
f22r	WARM	110	0.0727	0.1091	0.0364	1	0	0.0091	0.9909	UNIDENTIFIED	
f22v	TYPE-B	77	0.0649	0.1169	0.1558	0	0	0.0	1.0	UNIDENTIFIED	
f23r	TYPE-B	110	0.0727	0.1727	0.0364	0	0	0.0182	0.9909	UNIDENTIFIED	
f23v	TYPE-B	95	0.0947	0.1263	0.1263	0	0	0.0526	0.9895	UNIDENTIFIED	
f24r	WARM	110	0.1909	0.0909	0.0545	1	2	0.0818	0.9818	UNIDENTIFIED	
f24v	TYPE-B	85	0.1529	0.1176	0.0588	0	0	0.0353	1.0	UNIDENTIFIED	
f25r	HIGH-OT	47	0.2128	0.0213	0.1702	0	0	0.0426	1.0	UNIDENTIFIED	
f25v	PLAIN-AMBIG	60	0.1333	0.0667	0.05	0	0	0.0667	0.9667	UNIDENTIFIED	
f26r	TYPE-B	90	0.1333	0.1333	0.0222	0	0	0.1222	1.0	artemisia	PROBABLE
f26v	TYPE-B	93	0.1935	0.1183	0.0538	0	0	0.172	1.0	ephedra	PROBABLE
f27r	PLAIN-AMBIG	94	0.3298	0.0106	0.0426	0	0	0.0638	1.0	UNIDENTIFIED	
f27v	TYPE-B	61	0.1967	0.0984	0.0328	0	0	0.0656	1.0	UNIDENTIFIED	
f28r	WARM	68	0.1471	0.0735	0.1765	4	0	0.0147	1.0	UNIDENTIFIED	
f28v	WARM	67	0.3284	0.0448	0.1045	1	0	0.0	1.0	UNIDENTIFIED	
f29r	TYPE-B	65	0.2923	0.0923	0.0769	0	0	0.0462	0.9846	UNIDENTIFIED	
f29v	PLAIN-AMBIG	93	0.2688	0.043	0.086	0	0	0.0108	0.9892	UNIDENTIFIED	
f30r	PLAIN-AMBIG	99	0.3838	0.0505	0.0303	0	0	0.1313	0.9899	UNIDENTIFIED	
f30v	WARM	63	0.3175	0.0159	0.0794	1	0	0.0476	0.9841	artemisia	PROBABLE
f31r	TYPE-B	103	0.1748	0.2039	0.0388	0	0	0.2039	1.0	UNIDENTIFIED	
f31v	TYPE-B	110	0.1909	0.1909	0.0545	0	0	0.1909	1.0	UNIDENTIFIED	
f32r	WARM	76	0.0789	0.0658	0.1053	1	0	0.0	0.9868	artemisia	PROBABLE
f32v	WARM	89	0.1798	0.0	0.0787	1	0	0.0	0.9888	UNIDENTIFIED	
f33r	TYPE-B	74	0.1622	0.1757	0.1081	0	0	0.0811	1.0	UNIDENTIFIED	
f33v	TYPE-B	113	0.1416	0.1327	0.0265	0	0	0.0354	1.0	UNIDENTIFIED	
f34r	TYPE-B	143	0.2168	0.1189	0.0769	0	0	0.021	1.0	cardamom	MODERATE
f34v	TYPE-B	117	0.2821	0.1453	0.0256	0	0	0.0513	1.0	UNIDENTIFIED	
f35r	WARM	94	0.2447	0.0426	0.0745	1	0	0.0638	0.9787	UNIDENTIFIED	
f35v	PLAIN-AMBIG	90	0.2444	0.0556	0.0333	0	0	0.0778	1.0	UNIDENTIFIED	
